"ErrorCode","Count","Type","Severity","Sources"
"EventID_36871","104","Event Viewer","Error","Schannel"
"EventID_10016","15","Event Viewer","Warning","DCOM"
"EventID_7034","2","Event Viewer","Error","Service Control Manager"
"EventID_7009","2","Event Viewer","Error","Service Control Manager"
"EventID_219","2","Event Viewer","Warning","Microsoft-Windows-Kernel-PnP"
"EventID_27","2","Event Viewer","Warning","e2fnexpress, e2fexpress"
"EventID_4096","1","Event Viewer","Warning","VBScriptDeprecationAlert"
"EventID_10005","1","Event Viewer","Error","MsiInstaller"
"EventID_100","1","Event Viewer","Warning","winsrvext"
"EventID_1000","1","Event Viewer","Error","Application Error"
"0x2151d11c","1","HRESULT","Error","Application Error"
"EventID_0","1","Event Viewer","Warning","OVRServiceLauncher"
"EventID_4231","1","Event Viewer","Warning","Tcpip"
"0x00000000","1","HRESULT","Warning","Microsoft-Windows-Kernel-PnP"
"EventID_225","1","Event Viewer","Warning","Microsoft-Windows-Kernel-PnP"
"EventID_167","1","Event Viewer","Warning","Microsoft-Windows-Hyper-V-Hypervisor"
"EventID_7000","1","Event Viewer","Error","Service Control Manager"
"EventID_1801","1","Event Viewer","Error","Microsoft-Windows-TPM-WMI"
